trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.5, 'e': 0.6804506362045877}",20,8,-30.968894754778308,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,0,-64.92989067201098,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.6736800392488677}",20,10,-27.254614591529403,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.6703200460356393}",30,0,-17.79687256916629,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.6669768108584744}",20,0,-39.163149580331485,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.6636502501363194}",25,0,-73.59160322775088,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.6603402807049829}",20,11,-29.49254203465083,"{0: 4, 1: 3, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,15,-1.0456356143177121,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.6537697851298473}",25,1,-119.68048228740486,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,0,22.613557311189616,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.6472646670780347}",30,0,0.23495414471971987,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.6440364210831414}",30,0,-48.54530455093432,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.6408242760323187}",20,1,-97.57678626900513,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-108.46457364217743,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.6344479679482282}",20,9,-8.084237594919752,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-48.16492586001288,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.6281351051896408}",25,9,7.382567674036133,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,7,-29.246353435947267,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.62188505646502}",30,6,-93.36473432130104,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 2}",1
96,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,8,-29.60945399142704,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.6156971967642851}",30,0,-176.80267801462105,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
98,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,0,-64.69138538548782,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.6095709072963093}",25,0,-35.033980751795916,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,0,-33.00678025090363,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.6035055754270405}",25,16,10.118303282548254,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,0,-55.35927687271139,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.5975005946182375}",25,0,-106.66306889064322,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,15,-19.436396003908776,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.5915553643668151}",20,0,-83.5633117607594,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,5,15.326897401649966,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.5856692901447937}",20,0,6.248287569279822,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,0,-9.03315923690932,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.5798417833398464}",20,0,-7.505770267741653,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.5769498103804866}",30,11,-19.619358365826663,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.574072261196436}",25,0,0.7660610566342341,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.5712090638488149}",30,0,-101.12706597238648,"{0: 21, 1: 0, 2: 8, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.5683601467575404}",20,0,-111.5086498784251,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.5655254386995371}",30,21,1.685981216522903,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.5627048688069557}",25,0,-55.82392911502176,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.559898366565402}",25,12,-30.812797985908983,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.5571058618121739}",25,0,-21.628071172387312,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,-16.438499183910032,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.5515625658678298}",25,0,-27.951760742458596,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,10,15.990562209820824,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.5460744266397094}",20,0,-18.748223330535353,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,2,-98.77461725705024,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 2}",1
123,False,"{'a': 0.5, 'e': 0.5406408953093166}",25,2,-5.154945263114293,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,0,-40.67737485403386,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.5352614285189903}",30,0,-33.53135478925124,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,0,-39.74789343476303,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.5299354883175685}",25,3,-33.161916489119605,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,5,-41.04083806576122,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.5246625421065929}",25,13,-16.354543235091384,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.522045776761016}",20,6,-27.976480151351165,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.5194420625870482}",35,12,-43.500860641057784,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,8,-69.64437266130726,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.5142735277066319}",20,7,6.417236463117139,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,0,-22.731055289680885,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.5091564206075492}",20,0,16.824297600952033,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,0,-118.67674356046729,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
137,False,"{'a': 0.5, 'e': 0.5040902295748255}",30,12,19.02660734692046,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,6,-63.10729940521681,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
139,False,"{'a': 0.5, 'e': 0.49907444798513595}",25,2,-100.97911538413273,"{0: 18, 1: 0, 2: 1, 3: 2, 4: 2}",1
140,False,"{'a': 0.5, 'e': 0.49658530379140947}",25,0,-65.60844480343404,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.4941085742561417}",30,1,-22.95522905666393,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,3,-44.3277679080017,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.48919211179633154}",30,0,19.214812842532602,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-159.37121722596717,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
145,False,"{'a': 0.5, 'e': 0.48432456895536247}",20,0,-31.17799989448094,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.48190899009020244}",35,0,-3.8043053342335202,"{0: 29, 1: 4, 2: 2, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.4795054589748941}",25,16,7.660384439675623,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
